taxid,name_old,name_new
1352589,Mycobacterium tuberculosis PanR0804,Mycobacterium tuberculosis PanR0804
1352590,Mycobacterium tuberculosis PanR0805,Mycobacterium tuberculosis PanR0805
1352591,Mycobacterium tuberculosis PanR0902,Mycobacterium tuberculosis PanR0902
1352592,Mycobacterium tuberculosis PanR0903,Mycobacterium tuberculosis PanR0903
1352593,Mycobacterium tuberculosis PanR0904,Mycobacterium tuberculosis PanR0904
1352594,Mycobacterium tuberculosis PanR0906,Mycobacterium tuberculosis PanR0906
1352595,Mycobacterium tuberculosis PanR0907,Mycobacterium tuberculosis PanR0907
1352596,Mycobacterium tuberculosis PanR0908,Mycobacterium tuberculosis PanR0908
1352597,Mycobacterium tuberculosis PanR0909,Mycobacterium tuberculosis PanR0909
1352598,Mycobacterium tuberculosis PanR1006,Mycobacterium tuberculosis PanR1006
1352599,Mycobacterium tuberculosis PanR1007,Mycobacterium tuberculosis PanR1007
1352600,Mycobacterium tuberculosis PanR1101,Mycobacterium tuberculosis PanR1101
1353216,Mycobacterium sp. AW7-2,Mycobacterium sp. AW7-2
1353217,Mycobacterium sp. AW3-2,Mycobacterium sp. AW3-2
1353275,Mycobacterium abscessus V06705,Mycobacteroides abscessus V06705
1353527,Mycobacterium tuberculosis Mtb43,Mycobacterium tuberculosis Mtb43
1353550,Mycobacterium sp. 13DK077,Mycobacterium sp. 13DK077
1354101,Mycobacterium tuberculosis MAL020186,Mycobacterium tuberculosis MAL020186
1354102,Mycobacterium tuberculosis MAL020187,Mycobacterium tuberculosis MAL020187
1354103,Mycobacterium tuberculosis MAL020192,Mycobacterium tuberculosis MAL020192
1354104,Mycobacterium africanum MAL020193,Mycobacterium tuberculosis variant africanum MAL020193
1354105,Mycobacterium tuberculosis MAL020194,Mycobacterium tuberculosis MAL020194
1354106,Mycobacterium tuberculosis MAL020195,Mycobacterium tuberculosis MAL020195
1354107,Mycobacterium tuberculosis MAL020196,Mycobacterium tuberculosis MAL020196
1354108,Mycobacterium tuberculosis MAL020197,Mycobacterium tuberculosis MAL020197
1354109,Mycobacterium tuberculosis MAL020199,Mycobacterium tuberculosis MAL020199
1354110,Mycobacterium tuberculosis MAL020200,Mycobacterium tuberculosis MAL020200
1354111,Mycobacterium tuberculosis MAL020201,Mycobacterium tuberculosis MAL020201
1354112,Mycobacterium tuberculosis MAL020202,Mycobacterium tuberculosis MAL020202
1354113,Mycobacterium tuberculosis MAL020205,Mycobacterium tuberculosis MAL020205
1354114,Mycobacterium tuberculosis MAL020206,Mycobacterium tuberculosis MAL020206
1354115,Mycobacterium tuberculosis MAL020208,Mycobacterium tuberculosis MAL020208
1354116,Mycobacterium tuberculosis MAL020209,Mycobacterium tuberculosis MAL020209
1354117,Mycobacterium tuberculosis MAL020211,Mycobacterium tuberculosis MAL020211
1354118,Mycobacterium tuberculosis MAL020177,Mycobacterium tuberculosis MAL020177
1354119,Mycobacterium tuberculosis MAL020179,Mycobacterium tuberculosis MAL020179
1354120,Mycobacterium tuberculosis MAL020181,Mycobacterium tuberculosis MAL020181
1354121,Mycobacterium tuberculosis MAL020182,Mycobacterium tuberculosis MAL020182
